"Name","Country","Province","Population","Longitude","Latitude"
"Changsha","TJ","Hunan",1330000,113.5,28.1
"Changshu","TJ","Jiangsu",181805,0.0,0.0
"Changzhi","TJ","Shanxi",317144,0.0,0.0
"Changzhou","TJ","Jiangsu",531470,0.0,0.0
"Chaoxian","TJ","Anhui",123676,0.0,0.0
"Chaoyang","TJ","Liaoning",222394,0.0,0.0
"Chaozhou","TJ","Guangdong",313469,0.0,0.0
"Chapeco","BR","Santa Catarina",130458,0.0,0.0
"Charjew","TM","Leban",166400,0.0,0.0
"Charleroi","B","Hainaut",206491,0.0,0.0
"Charleston","USA","West Virginia",63968,-81.6,38.3667
"Charlotte","USA","North Carolina",419539,-80.9333,35.2167
"Charlotte Amalie","VIRG","Virgin Islands",0,-64.9,18.3
"Charlottetown","CDN","Prince Edward Island",24837,-63.2,46.2
"Chattanooga","USA","Tennessee",152393,-85.2,35.0333
"Cheboksary","R","Chuvash Republic",450000,0.0,0.0
"Cheju","ROK","South Korea",258509,0.0,0.0
"Chelm","PL","Chelmskie",0,0.0,0.0
"Chelmsford","GB","Essex",155700,0.0,0.0
"Cheltenham","GB","Gloucestershire",106700,0.0,0.0
"Chelyabinsk","R","Chelyabinskaya oblast",1086000,0.0,0.0
"Chemnitz","D","Sachsen",274162,0.0,0.0
"Chengde","TJ","Hebei",246799,0.0,0.0
"Chengdu","TJ","Sichuan",2810000,107.15,33.15
"Cherepovets","R","Vologodskaya oblast",320000,0.0,0.0
"Cherkasy","UA","Cherkaska",297000,0.0,0.0
"Cherkessk","R","Karachayevo Cherkessk Rep.",119000,0.0,0.0
"Chernihiv","UA","Chernihivska",301000,0.0,0.0
"Chernivtsi","UA","Chernivetska",257000,0.0,0.0
"Chesapeake","USA","Virginia",151982,0.0,0.0
"Chester","GB","Cheshire",120800,0.0,0.0
"Chesterfield","GB","Derbyshire",101200,0.0,0.0
"Chetumal","MEX","Quintana Roo",23685,-88.2,18.3
"Cheyenne","USA","Wyoming",47283,-104.817,41.15
"Chiai","RC","Taiwan",261941,0.0,0.0
"Chiang Mai","THA","Thailand",167000,0.0,0.0
"Chiba","J","Chiba",843000,0.0,0.0
"Chicago","USA","Illinois",2783726,-87.6333,41.8833
"Chichester","GB","West Sussex",102500,0.0,0.0
"Chiclayo","PE","Lambayeque",411536,0.0,0.0
"Chifeng","TJ","Nei Monggol",350077,0.0,0.0
"Chihuahua","MEX","Chihuahua",516153,-106.1,28.4
"Chilpancingo","MEX","Guerrero",36193,-99.3,17.3
"Chilung","RC","Taiwan",370049,0.0,0.0
"Chimbote","PE","Ancash",268979,0.0,0.0
"Chimoio","MOC","Manica",108818,0.0,0.0
"Chinandega","NIC","Nicaragua",101211,0.0,0.0
"Chincha Alta","PE","Ica",110016,0.0,0.0
"Chingola","Z","Copperbelt",167954,0.0,0.0
"Chiniot","PK","Pakistan",105559,0.0,0.0
"Chinju","ROK","South Korea",329913,0.0,0.0
"Chipata","Z","Eastern",0,0.0,0.0
"Chirchiq","UZB","Toshkent",156000,0.0,0.0
"Chisinau","MD","Moldova",663000,28.1,47.2
"Chita","R","Chitinskaya oblast",322000,0.0,0.0
"Chitre","PA","Herrera",34700,0.0,0.0
"Chittagong","BD","Bangladesh",1599000,91.8333,22.35
"Choluteca","HCA","Choluteca",63200,0.0,0.0
"Chongjin","NOK","North Korea",520000,0.0,0.0
"Chongju","ROK","South Korea",531195,0.0,0.0
"Chongqing","TJ","Sichuan",2980000,0.0,0.0
"Chonju","ROK","South Korea",563406,0.0,0.0
"Chorzow","PL","Katowickie",133000,0.0,0.0
"Christchurch","NZ","New Zealand",952600,172.66,-43.5
"Chula Vista","USA","California",135160,0.0,0.0
"Chunchon","ROK","South Korea",235067,0.0,0.0
"Chungho","RC","Taiwan",387123,0.0,0.0
"Chungli","RC","Taiwan",295825,0.0,0.0
"Chur","CH","GR",0,0.0,0.0
"Chuxian","TJ","Anhui",125341,0.0,0.0
"Ciechanow","PL","Ciechanowskie",0,0.0,0.0
"Ciego de Avila","C","Ciego de Avila",0,0.0,0.0
"Cienaga","CO","Guajira, La",144340,0.0,0.0
"Cienfuegos","C","Cienfuegos",132038,0.0,0.0
"Cincinnati","USA","Ohio",364114,-84.5167,39.15
"Cirebon","RI","Indonesia",254878,0.0,0.0
"Ciudad Apodaca","MEX","Nuevo Leon",103364,0.0,0.0
"Ciudad Bolivar","YV","Bolivar",225340,0.0,0.0
"Ciudad Guayana","YV","Bolivar",453047,0.0,0.0
"Ciudad Juarez","MEX","Chihuahua",789522,0.0,0.0
"Ciudad Madero","MEX","Tamaulipas",160331,0.0,0.0
"Ciudad Obregon","MEX","Sonora",219980,0.0,0.0
"Ciudad Santa Catarina","MEX","Nuevo Leon",162707,0.0,0.0
"Ciudad Victoria","MEX","Tamaulipas",194996,-99.1,23.4
"Cixi","TJ","Zhejiang",107329,0.0,0.0
"Clearwater","USA","Florida",98669,0.0,0.0
"Clermont Ferrand","F","Auvergne",136181,3.4,45.5
"Cleveland","USA","Ohio",505616,0.0,0.0
"Cluj Napoca","RO","Cluj",318000,0.0,0.0
"Coatzacoalcos","MEX","Veracruz",198817,0.0,0.0
"Cochabamba","BOL","Bolivia",304000,-66.0,-17.1
"Cochin","IND","Kerala",582588,0.0,0.0
"Codo","BR","Maranhao",104825,0.0,0.0
"Coimbatore","IND","Tamil Nadu",816321,0.0,0.0
"Coimbra","P","Coimbra",74616,0.0,0.0
"Colatina","BR","Espirito Santo",103621,0.0,0.0
"Colchester","GB","Essex",149100,0.0,0.0
"Colima","MEX","Colima",106967,-103.4,19.1
"Colombo","BR","Parana",153583,0.0,0.0
"Colombo","CL","Sri Lanka",643000,79.8667,6.9
"Colon","PA","Colon",140900,0.0,0.0
"Colorado Springs","USA","Colorado",280430,-104.717,38.8167
"Columbia","USA","South Carolina",110734,-81.1167,33.95
"Columbus","USA","Georgia",178683,0.0,0.0
"Columbus","USA","Ohio",632945,-83.0,39.5
"Colwyn Bay","GB","Aberconwy and Colwyn",0,0.0,0.0
"Comayagua","HCA","Comayagua",44300,0.0,0.0
"Comilla","BD","Bangladesh",156000,0.0,0.0
"Comodoro Rivadavia","RA","Chubut",124104,0.0,0.0
"Conakry","RG","Guinea",0,-13.5,9.3
"Concord","USA","California",111308,-121.983,37.9667
"Concord","USA","New Hampshire",30400,-71.5,43.2
"Concordia","RA","Entre Rios",116485,0.0,0.0
"Constanta","RO","Constanta",316000,0.0,0.0
"Constantine","DZ","Algeria",440842,0.0,0.0
"Contagem","BR","Minas Gerais",491268,0.0,0.0
"Copenhagen","DK","Denmark",1358540,12.55,55.6833
"Coral Springs","USA","Florida",78864,0.0,0.0
"Cordoba","E","Andalusia",315948,0.0,0.0
"Cordoba","RA","Cordoba",1208713,-64.25,-31.3667
"Cordoba","MEX","Veracruz",130695,0.0,0.0
"Coro","YV","Falcon",0,0.0,0.0
"Corona","USA","California",75943,0.0,0.0
"Corpus Christi","USA","Texas",257453,-97.5,27.7667
"Corrientes","RA","Corrientes",258103,-58.4,-27.3
"Corum","TR","Corum",0,0.0,0.0
"Cosenza","I","Calabria",104483,0.0,0.0
"Costa Mesa","USA","California",96357,0.0,0.0
"Cotia","BR","Sao Paulo",127047,0.0,0.0
"Cottbus","D","Brandenburg",125643,0.0,0.0
"Coventry","GB","West Midlands",302500,0.0,0.0
"Craiova","RO","Dolj",300000,0.0,0.0
"Crewe","GB","Cheshire",109500,0.0,0.0
"Criciuma","BR","Santa Catarina",159033,0.0,0.0
"Cuautla","MEX","Jalisco",110242,0.0,0.0
"Cucuta","CO","Norte de Santander",479309,0.0,0.0
"Cuernavaca","MEX","Morelos",279187,-99.2,19.0
"Cuiaba","BR","Mato Grosso",433101,-56.0,-15.3
"Culiacan","MEX","Sinaloa",415046,-107.4,24.5
"Cumana","YV","Sucre",212432,0.0,0.0
"Curitiba","BR","Parana",1465698,-49.2833,-25.4167
"Cuttack","IND","Orissa",403418,0.0,0.0
"Cuzco","PE","Cuzco",255568,-72.0,-13.2
"Cwmbran","GB","Monmouthshire",0,0.0,0.0
"Czestochowa","PL","Czestochowskie",258000,0.0,0.0
"Da Nang","VN","Vietnam",369734,108.217,16.0667
"Daan","TJ","Jilin",138963,0.0,0.0
"Dabrowa Gornicza","PL","Katowickie",136000,0.0,0.0
"Dahuk","IRQ","Dahuk",0,0.0,0.0
"Dakar","SN","Dakar",1382000,-17.4833,14.7
"Dalian","TJ","Liaoning",2400000,0.0,0.0
"Dallas","USA","Texas",1007618,-96.85,32.85
"Daman","IND","Daman and Diu",0,0.0,0.0
"Damanhur","ET","El Buhayra",226000,0.0,0.0
"Damascus","SYR","Syria",1500000,36.3333,33.5
"Dandong","TJ","Liaoning",523699,0.0,0.0
"Danli","HCA","El Paraiso",35500,0.0,0.0
"Danyang","TJ","Jiangsu",169603,0.0,0.0
"Daqing","TJ","Heilongjiang",657297,0.0,0.0
"Dar es Salaam","EAT","Daressalam",1360850,39.3,-6.83333
"Darlington","GB","Durham",100200,0.0,0.0
"Darmstadt","D","Hessen",139063,0.0,0.0
"Darwin","AUS","Northern Territory",68500,130.85,-12.4667
"Datong","TJ","Shanxi",1110000,0.0,0.0
"Davao","RP","Philippines",1007000,0.0,0.0
"David","PA","Chiriqui",102700,0.0,0.0
"Daxian","TJ","Sichuan",188101,0.0,0.0
"Dayton","USA","Ohio",182005,-84.2167,39.9
"Deba Habe","WAN","Nigeria",122000,0.0,0.0
"Debrecen","H","Debrecen (munic.)",216000,0.0,0.0
"Debrezit","ETH","Ethiopia",105963,0.0,0.0
"Dededo","GUAM","Guam",46000,144.8,13.5
"Delemont","CH","JU",0,0.0,0.0
"Delgado","ES","El Salvador",104790,0.0,0.0
"Denizli","TR","Denizli",234500,0.0,0.0
"Denver","USA","Colorado",467610,-104.867,39.75
"Dera Ghazi Khan","PK","Pakistan",102007,0.0,0.0
"Derby","GB","Derbyshire",230500,0.0,0.0
"Des Moines","USA","Iowa",193189,-93.65,41.5333
"Dese","ETH","Ethiopia",117268,0.0,0.0
"Detroit","USA","Michigan",1027974,-83.0167,42.4167
"Deva","RO","Hunedoara",0,0.0,0.0
"Deyang","TJ","Sichuan",182488,0.0,0.0
"Dezful","IR","Khuzestan",181309,0.0,0.0
"Dezhou","TJ","Shandong",195485,0.0,0.0
"Dhaka","BD","Bangladesh",3839000,90.5,24.0
"Diadema","BR","Sao Paulo",323221,0.0,0.0
"Dijon","F","Bourgogne",146703,5.2,47.2
"Dili","TL","Timor-Leste",59069,125.6,-8.6
"Dimitrovgrad","R","Ulyanovskaya oblast",135000,0.0,0.0
"Dinajpur","BD","Bangladesh",138000,0.0,0.0
"Diourbel","SN","Diourbel",0,0.0,0.0
"Dire Dawa","ETH","Ethiopia",194587,0.0,0.0
"Dispur","IND","Assam",0,91.5,26.0
"Divinopolis","BR","Minas Gerais",171562,0.0,0.0
"Diwaniyah","IRQ","Al Qadisiyah",196519,0.0,0.0
"Diyarbakir","TR","Diyarbakir",448300,0.0,0.0
"Djibouti","DJI","Djibouti",0,43.1,11.5
"Dniprodzerzhynsk","UA","Dnipropetrovska",284000,0.0,0.0
"Dnipropetrovsk","UA","Dnipropetrovska",1187000,0.0,0.0
"Dodoma","EAT","Dodoma",203833,0.0,0.0
"Doha","Q","Qatar",217294,51.0,25.0
"Doncaster","GB","South Yorkshire",292500,0.0,0.0
"Donetsk","UA","Donetska",1117000,0.0,0.0
"Dongguan","TJ","Guangdong",308669,0.0,0.0
"Dongtai","TJ","Jiangsu",192247,0.0,0.0
"Dongying","TJ","Shandong",281728,0.0,0.0
"Donostia","E","Basque Country",177929,0.0,0.0
"Dorchester","GB","Dorset",0,0.0,0.0
"Dordrecht","NL","Zuid Holland",213963,0.0,0.0
"Dortmund","D","Nordrhein Westfalen",600918,0.0,0.0
"Dosquebradas","CO","Risaralda",163599,0.0,0.0
"Douala","CAM","Cote/Littoral",884000,10.0,3.5
"Douglas","GBM","Man",0,-4.6,54.15
"Dourados","BR","Mato Grosso do Sul",153165,0.0,0.0
"Dover","USA","Delaware",23512,-75.4667,39.1333
"Dover","GB","Kent",106100,0.0,0.0
"Drammen","N","Buskerud",50855,10.1,59.4
"Dresden","D","Sachsen",474443,13.7,51.05
"Drobeta Turnu Severin","RO","Mehedinti",0,0.0,0.0
"Dubai","UAE","Dubayy",585189,55.0,25.0
"Dublin","IRL","Ireland",502337,-6.35,53.3667
"Dudley","GB","West Midlands",312200,0.0,0.0
"Duisburg","D","Nordrhein Westfalen",536106,0.0,0.0
"Dukou","TJ","Sichuan",415466,0.0,0.0
"Dumfries","GB","Dumfries and Galloway",0,0.0,0.0
"Dumyat","ET","Dumyat",121000,0.0,0.0
"Dundee","GB","Tayside",167600,0.0,0.0
"Dunhua","TJ","Jilin",235100,0.0,0.0
"Duque de Caxias","BR","Rio de Janeiro",712370,0.0,0.0
"Durango","MEX","Durango",182600,-104.4,24.0
"Durban","RSA","Kwazulu Natal",716000,0.0,0.0
"Durgapur","IND","West Bengal",425836,0.0,0.0
"Durham","GB","Durham",0,0.0,0.0
"Durham","USA","North Carolina",138894,-78.7833,35.8667
"Durres","AL","Albania",60000,19.3,41.3
"Dushanbe","TAD","Dushanbe (munic.)",582400,68.48,38.3
"Dusseldorf","D","Nordrhein Westfalen",572638,6.8,51.2
"Duyun","TJ","Guizhou",132971,0.0,0.0
"Dzerzhinsk","R","Nizhegorodskaya oblast",285000,0.0,0.0
"Dzhambul","KAZ","Zhambyl",130600,0.0,0.0
"East London","RSA","Eastern Cape",102000,0.0,0.0
"East York","CDN","Ontario",102696,0.0,0.0
"Eastleigh","GB","Hampshire",109600,0.0,0.0
"Ebbw Vale","GB","Blaenau Gwent",0,0.0,0.0
"Ebolowa","CAM","Sud",0,0.0,0.0
"Echeng","TJ","Hubei",190123,0.0,0.0
"Ede","WAN","Nigeria",271000,0.0,0.0
"Edinburgh","GB","Lothian",447600,-3.18333,55.9167
"Edirne","TR","Edirne",115500,0.0,0.0
"Edmonton","CDN","Alberta",616741,-113.517,53.5667
"Effon Alaiye","WAN","Nigeria",135000,0.0,0.0
"Eger","H","Heves",0,0.0,0.0
"Eindhoven","NL","Noord Brabant",395612,0.0,0.0
"Eisenstadt","A","Burgenland",10102,16.0,48.0
"Ekibastuz","KAZ","Pavlodar",141100,0.0,0.0
"El Aaiun","WSA","Western Sahara",0,-13.2,27.05
"El Arish","ET","Sina ash Shamaliyah",0,0.0,0.0
"El Faiyum","ET","El Faiyum",227000,0.0,0.0
"El Giza","ET","El Giza",1671000,0.0,0.0
"El Kharga","ET","El Wadi el Jadid",0,0.0,0.0
"El Mahalla el Kubra","ET","El Gharbiya",385000,0.0,0.0
"El Mansura","ET","El Daqahliya",358000,0.0,0.0
"El Minya","ET","El Minya",203000,0.0,0.0
"El Monte","USA","California",106162,0.0,0.0
"El Paso","USA","Texas",515342,0.0,0.0
"El Porvenir","PA","Comarca de San Blas",0,0.0,0.0
"El Progreso","HCA","Yoro",70000,0.0,0.0
"El Suweiz","ET","El Suweiz",265000,0.0,0.0
"El Tur","ET","Sina al Janubiyah",0,0.0,0.0
"El Uqsur","ET","Qena",148000,0.0,0.0
"Elazig","TR","Elazig",222800,0.0,0.0
"Elbasan","AL","Albania",53000,20.1,41.1
"Elblag","PL","Elblaskie",125000,0.0,0.0
"Eldoret","EAK","Rift Valley",104900,0.0,0.0
"Elektrostal","R","Moskovskaya oblast",150000,0.0,0.0
"Elista","R","Rep. of Kalmykiya",0,0.0,0.0
"Elizabeth","USA","New Jersey",110002,0.0,0.0
"Elmbridge","GB","Surrey",117300,0.0,0.0
"Elx","E","Valencia",191305,0.0,0.0
"Embu","EAK","Eastern",0,0.0,0.0
"Embu","BR","Sao Paulo",195676,0.0,0.0
"Engels","R","Saratovskaya oblast",186000,0.0,0.0
"Enschede","NL","Overijssel",254480,0.0,0.0
"Ensenada","MEX","Baja California",169426,0.0,0.0
"Enugu","WAN","Nigeria",279000,0.0,0.0
"Envigado","CO","Antioquia",109240,0.0,0.0
"Epping Forest","GB","Essex",118200,0.0,0.0
"Erfurt","D","Thuringen",213472,11.0,51.0
"Erie","USA","Pennsylvania",108718,-80.1833,42.0833
"Erlangen","D","Bayern",101450,0.0,0.0
"Ermoupoli","GR","Notion Aiyaion",0,0.0,0.0
"Erzincan","TR","Erzincan",0,0.0,0.0
"Erzurum","TR","Erzurum",250100,41.3,49.9
"Esbjerg","DK","Denmark",70975,8.3,55.3
"Escondido","USA","California",108648,-117.083,33.1167
"Esfahan","IR","Esfahan",1220595,51.4,32.4
"Eskisehir","TR","Eskisehir",451000,0.0,0.0
"Espoo","SF","Uusimaa",160480,24.3,60.2
"Essen","D","Nordrhein Westfalen",617955,0.0,0.0
"Etobicoke","CDN","Ontario",309993,0.0,0.0
"Eugene","USA","Oregon",112733,-123.217,44.1167
"Evansville","USA","Indiana",126272,-87.5333,38.05
"Evora","P","Evora",0,0.0,0.0
"Exeter","GB","Devon",105100,0.0,0.0
"Falun","S","Dalarna",51900,15.3,60.3
"Fareham","GB","Hampshire",101000,0.0,0.0
"Farghona","UZB","Farghona",191000,0.0,0.0
"Faridabad","IND","Uttar Pradesh",617717,0.0,0.0
"Faro","P","Algarve",0,0.0,0.0
"Fatick","SN","Fatick",0,0.0,0.0
"Feira de Santana","BR","Bahia",449960,0.0,0.0
"Fengcheng","TJ","Liaoning",193784,0.0,0.0
"Fengshan","RC","Taiwan",301374,0.0,0.0
"Fengyuan","RC","Taiwan",157548,0.0,0.0
"Ferrara","I","Emilia Romagna",140600,0.0,0.0
"Ferraz de Vasconcelos","BR","Sao Paulo",121992,0.0,0.0
"Fes","MA","Morocco",774754,0.0,0.0
"Fianarantsoa","RM","Fianarantsoa",300000,0.0,0.0
"Firenze","I","Toscana",408403,11.17,43.48
"Flint","USA","Michigan",140925,-83.7333,42.9667
"Florencia","CO","Caqueta",118027,0.0,0.0
"Florianopolis","BR","Santa Catarina",268551,-58.3,-27.3
"Floridablanca","CO","Santander del Sur",246834,0.0,0.0
"Flying Fish Cove","XMAS","Christmas Island",0,105.43,-10.25
"Focsani","RO","Vrancea",0,0.0,0.0
"Foggia","I","Puglia",159541,0.0,0.0
"Fontana","USA","California",87535,0.0,0.0
"Forli","I","Emilia Romagna",109755,0.0,0.0
"Formosa","RA","Formosa",148074,-58.1,-26.5
"Fort Collins","USA","Colorado",87491,-105.083,40.75
"Fort Lauderdale","USA","Florida",149238,0.0,0.0
"Fort Wayne","USA","Indiana",191839,-85.2,41.0
"Fort Worth","USA","Texas",447619,-97.1,32.4
"Fort-de-France","MART","Martinique",100000,-61.0,14.6
"Fortaleza","BR","Ceara",1967365,-38.55,-3.76667
"Foshan","TJ","Guangdong",303160,0.0,0.0
"Foz do Iguacu","BR","Parana",231596,0.0,0.0
"Franca","BR","Sao Paulo",266909,0.0,0.0
"Francisco Morato","BR","Sao Paulo",106328,0.0,0.0
"Frankfort","USA","Kentucky",25973,-84.5,38.1
"Frankfurt am Main","D","Hessen",652412,0.0,0.0
"Frauenfeld","CH","TG",0,0.0,0.0
"Fredericton","CDN","New Brunswick",45248,-52.5,45.5
"Freetown","WAL","Sierra Leone",0,-13.1,8.2
"Freiburg im Breisgau","D","Baden Wurttemberg",198496,0.0,0.0
"Fremont","USA","California",173339,0.0,0.0
"Fresno","USA","California",354091,0.0,0.0
"Fribourg","CH","FR",0,0.0,0.0
"Fuenlabrada","E","Madrid",158212,0.0,0.0
"Fukui","J","Fukui",0,0.0,0.0
"Fukuoka","J","Fukuoka",1273000,130.45,33.5833
"Fukushima","J","Fukushima",0,0.0,0.0
"Fuling","TJ","Heilongjiang",173878,0.0,0.0
"Fullerton","USA","California",114144,0.0,0.0
"Funafuti","TUV","Tuvalu",2120,178.0,-8.0
"Funchal","P","Madeira",44111,-15.9,31.0
"Furth","D","Bayern",107799,0.0,0.0
"Fushun","TJ","Liaoning",1350000,0.0,0.0
"Fuxin","TJ","Liaoning",635473,0.0,0.0
"Fuyang","TJ","Anhui",179572,0.0,0.0
"Fuyu","TJ","Jilin",192981,0.0,0.0
"Fuzhou","TJ","Fujian",874809,119.0,26.0
"Fuzhou","TJ","Jiangxi",1290000,0.0,0.0
"Gaborone","RB","Botswana",0,25.6,-24.5
"Galati","RO","Galati",307000,0.0,0.0
"Gandhinagar","IND","Gujarat",0,72.2,23.2
"Gangtok","IND","Sikkim",0,88.3,27.3
"Ganzhou","TJ","Jiangxi",220129,0.0,0.0
"Garanhuns","BR","Pernambuco",110190,0.0,0.0
"Garden Grove","USA","California",142965,0.0,0.0
"Garissa","EAK","North Eastern",0,0.0,0.0
"Garland","USA","Texas",180635,0.0,0.0
"Garoua","CAM","Nord",177000,0.0,0.0
"Gary","USA","Indiana",116646,0.0,0.0
"Gateshead","GB","Tyne and Wear",202400,0.0,0.0
"Gauhati","IND","Assam",584342,0.0,0.0
"Gavle","S","Gavleborg",87431,17.0,60.4
"Gaza","GAZA","Gaza Strip",409680,34.5,31.5
"Gaziantep","TR","Gaziantep",716000,0.0,0.0
"Gazipur","BD","Bangladesh",104000,0.0,0.0
"Gdansk","PL","Gdanskie",465000,0.0,0.0
"Gdynia","PL","Gdanskie",251000,0.0,0.0
"Gebze","TR","Kocaeli",237300,0.0,0.0
"Geelong","AUS","Victoria",151000,0.0,0.0
"Gejiu","TJ","Yunnan",214294,0.0,0.0
"Geleen","NL","Limburg",186011,0.0,0.0
"Gelsenkirchen","D","Nordrhein Westfalen",293542,0.0,0.0
"General San Martin","RA","Buenos Aires",407506,0.0,0.0
"Geneva","CH","GE",167697,6.9,46.12
"Genua","I","Liguria",701032,8.58,44.25
"George Town","CAYM","Cayman Islands",0,-81.23,19.18
"Georgetown","GUY","Guyana",170000,-58.2,6.83333
"Gera","D","Thuringen",126035,0.0,0.0
"Getafe","E","Madrid",144368,0.0,0.0
"Ghaziabad","IND","Delhi",454156,0.0,0.0
"Ghent","B","East Flanders",227483,3.75,51.054
"Gibraltar","GBZ","Gibraltar",0,-5.2,36.15
"Gifu","J","Gifu",0,0.0,0.0
"Gijon","E","Asturias",269644,0.0,0.0
"Giresun","TR","Giresun",0,0.0,0.0
"Giurgiu","RO","Giurgiu",0,0.0,0.0
"Glarus","CH","GL",0,0.0,0.0
"Glasgow","GB","Strathclyde",674800,-4.28333,55.8667
"Glazov","R","Udmurt Republic",107000,0.0,0.0
"Glendale","USA","Arizona",147864,0.0,0.0
"Glendale","USA","California",180038,0.0,0.0
"Glenrothes","GB","Fife",0,0.0,0.0
"Gliwice","PL","Katowickie",216000,0.0,0.0
"Gloucester","GB","Gloucestershire",104800,0.0,0.0
"Gloucester","CDN","Ontario",101677,0.0,0.0
"Goiania","BR","Goias",998520,-49.2,-16.3
"Gold Coast","AUS","Queensland",266000,0.0,0.0
"Goma","ZRE","Kivu",109094,0.0,0.0
"Gomez Palacio","MEX","Durango",164092,0.0,0.0
"Gonbad e Kavus","IR","Mazandaran",102768,0.0,0.0
"Gonder","ETH","Ethiopia",166593,0.0,0.0
"Gongzhuling","TJ","Jilin",226569,0.0,0.0
"Gorakhpur","IND","Uttar Pradesh",505566,0.0,0.0
"Gorgan","IR","Mazandaran",162468,0.0,0.0
"Gorno Altaysk","R","Rep. of Altay",0,0.0,0.0
"Gorontalo","RI","Indonesia",119780,0.0,0.0
"Gorzow Wielkopolski","PL","Gorzowskie",123000,0.0,0.0
"Gorzow Wielkopolskie","PL","Gorzowskie",0,0.0,0.0
"Goteborg","S","Goteborg och Bohus",449189,12.0,57.4
"Gottingen","D","Niedersachsen",127519,0.0,0.0
"Governador Valadares","BR","Minas Gerais",231077,0.0,0.0
"Gracias","HCA","Lempira",0,0.0,0.0
"Granada","E","Andalusia",271180,0.0,0.0
"Granada","NIC","Nicaragua",79418,-86.0,11.9
"Grand Prairie","USA","Texas",99606,0.0,0.0
"Grand Rapids","USA","Michigan",189126,-85.5167,42.8833
"Grand Turk","TUCA","Turks and Caicos Islands",0,-71.08,21.28
"Gravatai","BR","Pernambuco",205657,0.0,0.0
"Graz","A","Styria",238000,15.26,47.4
"Green Bay","USA","Wisconsin",96466,-88.1333,44.4833
"Greensboro","USA","North Carolina",183894,0.0,0.0
"Grenoble","F","Rhone Alpes",150758,0.0,0.0
"Groningen","NL","Groningen",210708,0.0,0.0
"Grozny","R","Chechen Rep.",364000,0.0,0.0
"Grudziadz","PL","Torunskie",101000,0.0,0.0
"Guacara","YV","Carabobo",100766,0.0,0.0
"Guadalajara","MEX","Jalisco",1650042,-103.333,20.6833
"Guadalupe","MEX","Nuevo Leon",535332,0.0,0.0
"Guanajuato","MEX","Guanajuato",36809,-101.2,21.0
"Guanare","YV","Portuguesa",0,0.0,0.0
"Guangshui","TJ","Hubei",102770,0.0,0.0
"Guangyuan","TJ","Sichuan",182241,0.0,0.0
"Guangzhou","TJ","Guangdong",3580000,114.0,23.0
"Guantanamo","C","Guantanamo",207796,0.0,0.0
"Guarapuava","BR","Parana",149158,0.0,0.0
"Guarda","P","Guarda",0,0.0,0.0
"Guarenas","YV","Miranda",134158,0.0,0.0
"Guaruja","BR","Sao Paulo",226185,0.0,0.0
"Guarulhos","BR","Sao Paulo",972766,0.0,0.0
"Guatemala City","GCA","Guatemala",823301,-90.5167,14.6167
"Guayaquil","EC","Ecuador",1300868,-80.0,-2.0
"Guildford","GB","Surrey",126200,0.0,0.0
"Guilin","TJ","Guangxi Zhuangzu",364130,0.0,0.0
"Guixian","TJ","Guangxi Zhuangzu",114025,0.0,0.0
"Guiyang","TJ","Guizhou",1530000,106.0,26.0
"Gujranwala","PK","Pakistan",1663000,0.0,0.0
"Gujrat","PK","Pakistan",155058,0.0,0.0
"Guliston","UZB","Sirdare",0,0.0,0.0
"Gumushane","TR","Gumushane",0,0.0,0.0
"Guntur","IND","Andhra Pradesh",471051,0.0,0.0
"Gusau","WAN","Nigeria",139000,0.0,0.0
"Gwalior","IND","Madhya Pradesh",690765,0.0,0.0
"Gyor","H","Gyor (munic.)",130000,0.0,0.0
"Haarlem","NL","Noord Holland",212631,0.0,0.0
"Haeju","NOK","North Korea",195000,0.0,0.0
"Haemeenlinna","SF","Haeme",42000,24.3,61.0
"Hafnarfjoerdur","IS","Iceland",12000,-22.0,64.0
"Hagen","D","Nordrhein Westfalen",213747,0.0,0.0
"Haicheng","TJ","Liaoning",205560,0.0,0.0
"Haifa","IL","Haifa",0,0.0,0.0
"Haikou","TJ","Hainan",280153,110.3,20.05
"Hailar","TJ","Nei Monggol",180650,0.0,0.0
"Haining","TJ","Zhejiang",100478,0.0,0.0
"Haiphong","VN","Vietnam",1447523,0.0,0.0
"Hakha","MYA","Chin",0,0.0,0.0
"Hakkari","TR","Hakkari",0,0.0,0.0
"Hakodate","J","Hokkaido",287691,140.7,41.8
"Halifax","CDN","Nova Scotia",114455,-63.4,44.4
"Halle","D","Sachsen Anhalt",290051,0.0,0.0
"Halmstad","S","Halland",77601,13.0,56.4
"Hamadan","IR","Hamadan",406070,48.3,34.5
"Hamar","N","Hedmark",15685,11.5,60.5
"Hamburg","D","Hamburg",1705872,9.96667,53.55
"Hamhung Hungnam","NOK","North Korea",701000,0.0,0.0
"Hami","TJ","Xinjiang Uygur",161315,0.0,0.0
"Hamilton","BERM","Bermuda",0,-64.47,32.17
"Hamilton","CDN","Ontario",318499,-79.9,43.2667
"Hamm","D","Nordrhein Westfalen",184020,0.0,0.0
"Hammerfest","N","Finnmark",7089,23.4,70.4
"Hampton","USA","Virginia",133811,0.0,0.0
"Handan","TJ","Hebei",1110000,0.0,0.0
"Hangzhou","TJ","Zhejiang",1340000,125.5,30.2
"Hannover","D","Niedersachsen",525763,9.66667,52.4
"Hanoi","VN","Vietnam",3056146,105.867,21.0333
