"Name","Country","Population","Area","Capital","CapProv"
"Est","CAM",517200,109011.0,"Bertoua","Est"
"Estonia","EW",1459428,0.0,"Tallinn","Estonia"
"Estremadura","E",1050590,41635.0,"Merida","Estremadura"
"Ethiopia","ETH",57171662,0.0,"Addis Ababa","Ethiopia"
"Evora","P",173500,7393.0,"Evora","Evora"
"Falcon","YV",699232,24800.0,"Coro","Falcon"
"Falkland Islands","FALK",3140,0.0,"Stanley","Falkland Islands"
"Farghona","UZB",2338000,7100.0,"Farghona","Farghona"
"Faroe Islands","FARX",43857,0.0,"Torshavn","Faroe Islands"
"Fars","IR",3543828,133298.0,"Shiraz","Fars"
"Fatick","SN",476000,7935.0,"Fatick","Fatick"
"Fed. Terr. of Kuala Lumpur","MAL",1145075,243.0,"Kuala Lumpur","Fed. Terr. of Kuala Lumpur"
"Fed. Terr. of Labuan","MAL",54307,91.0,"Labuan","Fed. Terr. of Labuan"
"Fejer","H",422500,4374.0,"Szekesfehervar","Fejer"
"Fianarantsoa","RM",2209700,102373.0,"Fianarantsoa","Fianarantsoa"
"Fife","GB",352100,1319.0,"Glenrothes","Fife"
"Fiji","FJI",782381,0.0,"Suva","Fiji"
"Finnmark","N",75667,0.0,"Vadsoe","Finnmark"
"Flevoland","NL",262325,1425.0,"Lelystad","Flevoland"
"Flintshire","GB",145300,437.0,"Mold","Flintshire"
"Florida","USA",14653945,151939.0,"Tallahassee","Florida"
"Formosa","RA",398413,72066.0,"Formosa","Formosa"
"FR","CH",224552,1670.0,"Fribourg","FR"
"Franche Comte","F",1097000,16202.0,"Besancon","Franche Comte"
"Francisco Morazan","HCA",908300,7946.0,"Tegucigalpa","Francisco Morazan"
"Free State","RSA",2470000,129437.0,"Bloemfontein","Free State"
"French Guiana","FGU",151187,0.0,"Cayenne","French Guiana"
"French Polynesia","FPOL",287032,0.0,"Papeete","French Polynesia"
"Friesland","NL",609579,3361.0,"Leeuwarden","Friesland"
"Friuli Venezia Giulia","I",1193000,7845.0,"Trieste","Friuli Venezia Giulia"
"Fujian","TJ",31830000,120000.0,"Fuzhou","Fujian"
"Fukui","J",826996,4192.0,"Fukui","Fukui"
"Fukuoka","J",4933393,4961.0,"Fukuoka","Fukuoka"
"Fukushima","J",2133592,13784.0,"Fukushima","Fukushima"
"Gabon","G",1172798,0.0,"Libreville","Gabon"
"Galati","RO",642000,4425.0,"Galati","Galati"
"Galicia","E",2720761,29574.0,"Santiago de Compostella","Galicia"
"Gambia","WAG",1204984,0.0,"Banjul","Gambia"
"Gansu","TJ",23780000,450000.0,"Lanzhou","Gansu"
"Gauteng","RSA",7171300,18760.0,"Johannesburg","Gauteng"
"Gavleborg","S",289339,18191.0,"Gavle","Gavleborg"
"Gaza","MOC",1401500,75709.0,"Xai Xai","Gaza"
"Gaza Strip","GAZA",813332,0.0,"",""
"Gaziantep","TR",1140594,7642.0,"Gaziantep","Gaziantep"
"Gdanskie","PL",1445000,7394.0,"Gdansk","Gdanskie"
"GE","CH",395466,282.0,"Geneva","GE"
"Gelderland","NL",1864732,4995.0,"Arnhem","Gelderland"
"Georgia","GE",5219810,0.0,"Tbilisi","Georgia"
"Georgia","USA",7486242,152576.0,"Atlanta","Georgia"
"Ghana","GH",17698271,0.0,"Accra","Ghana"
"Gibraltar","GBZ",28765,0.0,"Gibraltar","Gibraltar"
"Gifu","J",2100315,10596.0,"Gifu","Gifu"
"Gilan","IR",2204047,14709.0,"Rasht","Gilan"
"Giresun","TR",499087,6934.0,"Giresun","Giresun"
"Giurgiu","RO",325000,3810.0,"Giurgiu","Giurgiu"
"GL","CH",39410,685.0,"Glarus","GL"
"Gloucestershire","GB",538800,2643.0,"Gloucester","Gloucestershire"
"Goa","IND",1169793,3702.0,"Panaji","Goa"
"Goias","BR",4501538,341289.0,"Goiania","Goias"
"Gorj","RO",388000,5641.0,"Tirgu Jiu","Gorj"
"Gorzowskie","PL",505600,8484.0,"Gorzow Wielkopolskie","Gorzowskie"
"Goteborg och Bohus","S",742550,5141.0,"Goteborg","Goteborg och Bohus"
"Gotland","S",57383,3140.0,"Visby","Gotland"
"GR","CH",185063,7105.0,"Chur","GR"
"Gracias a Dios","HCA",39000,16630.0,"Puerto Lempira","Gracias a Dios"
"Grampian","GB",532500,8752.0,"Aberdeen","Grampian"
"Granma","C",773000,8372.0,"Bayamo","Granma"
"Greater London","GB",6803100,1579.0,"London","Greater London"
"Greater Manchester","GB",2561600,1287.0,"Manchester","Greater Manchester"
"Greenland","GROX",58203,0.0,"Nuuk","Greenland"
"Grenada","WG",94961,0.0,"Saint Georges","Grenada"
"Groningen","NL",557995,2344.0,"Groningen","Groningen"
"Guadeloupe","GUAD",407768,0.0,"Basse-Terre","Guadeloupe"
"Guainia","CO",12345,72238.0,"Puerto Inirida","Guainia"
"Guajira, La","CO",299995,20848.0,"Riohacha","Guajira, La"
"Guam","GUAM",178430,0.0,"Agana","Guam"
"Guanacaste","CR",254530,10141.0,"Liberia","Guanacaste"
"Guanajuato","MEX",4406568,30589.0,"Guanajuato","Guanajuato"
"Guangdong","TJ",66890000,186000.0,"Guangzhou","Guangdong"
"Guangxi Zhuangzu","TJ",44930000,236300.0,"Nanning","Guangxi Zhuangzu"
"Guantanamo","C",484000,6186.0,"Guantanamo","Guantanamo"
"Guarda","P",187800,5518.0,"Guarda","Guarda"
"Guarico","YV",583221,64986.0,"San Juan","Guarico"
"Guatemala","GCA",11277614,0.0,"Guatemala City","Guatemala"
"Guaviare","CO",47073,42327.0,"San Jose del Guaviare","Guaviare"
"Guernsey","GBG",62920,0.0,"Saint Peter Port","Guernsey"
"Guerrero","MEX",2916567,63749.0,"Chilpancingo","Guerrero"
"Guinea","RG",7411981,0.0,"Conakry","Guinea"
"Guinea-Bissau","GNB",1151330,0.0,"Bissau","Guinea-Bissau"
"Guizhou","TJ",34580000,170000.0,"Guiyang","Guizhou"
"Gujarat","IND",41309582,196024.0,"Gandhinagar","Gujarat"
"Gumma","J",2003540,6356.0,"Maebashi","Gumma"
"Gumushane","TR",169375,6575.0,"Gumushane","Gumushane"
"Guyana","GUY",712091,0.0,"Georgetown","Guyana"
"Gwynedd","GB",117000,2548.0,"Caernarfon","Gwynedd"
"Gyor (munic.)","H",130600,175.0,"Gyor","Gyor (munic.)"
"Gyor Sopron","H",426800,4012.0,"Gyor","Gyor (munic.)"
"Haeme","SF",662000,0.0,"Haemeenlinna","Haeme"
"Haifa","IL",602800,854.0,"Haifa","Haifa"
"Hainan","TJ",7110000,34000.0,"Haikou","Hainan"
"Hainaut","B",1283252,3787.0,"Mons","Hainaut"
"Haiti","RH",6731539,0.0,"Port-au-Prince","Haiti"
"Hajdu Bihar","H",549700,6212.0,"Debrecen","Debrecen (munic.)"
"Hakkari","TR",172479,7121.0,"Hakkari","Hakkari"
"Halland","S",257874,5454.0,"Halmstad","Halland"
"Hamadan","IR",1651320,19784.0,"Hamadan","Hamadan"
"Hamburg","D",1705872,755.0,"Hamburg","Hamburg"
"Hampshire","GB",1578700,3777.0,"Winchester","Hampshire"
"Harghita","RO",363000,6610.0,"Miercurea Ciuc","Harghita"
"Haryana","IND",16463648,44212.0,"Chandigarh","Chandigarh"
"Hatay","TR",1109754,5403.0,"Antakya","Hatay"
"Haut Zaire","ZRE",5119750,503239.0,"Kisangani","Haut Zaire"
"Haute Normandie","F",1737000,12318.0,"Rouen","Haute Normandie"
"Hawaii","USA",1183723,16760.0,"Honolulu","Hawaii"
"Hebei","TJ",63880000,190000.0,"Shijiazhuang","Hebei"
"Hedmark","N",186355,0.0,"Hamar","Hedmark"
"Heilongjiang","TJ",36720000,469000.0,"Harbin","Heilongjiang"
"Henan","TJ",90270000,167000.0,"Zhengzhou","Henan"
"Heredia","CR",256726,2656.0,"Heredia","Heredia"
"Hereford and Worcester","GB",696000,3927.0,"Worcester","Hereford and Worcester"
"Herrera","PA",108700,2341.0,"Chitre","Herrera"
"Hertfordshire","GB",989500,1634.0,"Hertford","Hertfordshire"
"Hessen","D",5980693,21115.0,"Wiesbaden","Hessen"
"Heves","H",330200,3637.0,"Eger","Heves"
"Hidalgo","MEX",2112473,20987.0,"Pachuca de Soto","Hidalgo"
"Highland","GB",207500,26137.0,"Inverness","Highland"
"Himachal Pradesh","IND",5170877,55673.0,"Simla","Himachal Pradesh"
"Hiroshima","J",2881748,8467.0,"Hiroshima","Hiroshima"
"Hokkaido","J",5692321,83519.0,"Sapporo","Hokkaido"
"Holguin","C",972000,9301.0,"Holguin","Holguin"
"Holy See","V",840,0.0,"Vatican City","Holy See"
"Hong Kong","HONX",7055071,0.0,"Hong Kong","Hong Kong"
"Hordaland","N",399702,0.0,"Bergen","Hordaland"
"Hormozgan","IR",924433,66780.0,"Bandar Abbas","Hormozgan"
"Huambo","ANG",1524000,34274.0,"Huambo","Huambo"
"Huancavelica","PE",413136,22131.0,"Huancavelica","Huancavelica"
"Huanuco","PE",722669,36938.0,"Huanuco","Huanuco"
"Hubei","TJ",57190000,187400.0,"Wuhan","Hubei"
"Huila","ANG",869000,75002.0,"Lubango","Huila"
"Huila","CO",693712,19890.0,"Neiva","Huila"
"Humberside","GB",874400,3512.0,"Hull","Humberside"
"Hunan","TJ",63550000,210000.0,"Changsha","Hunan"
"Hunedoara","RO",567000,7016.0,"Deva","Hunedoara"
"Hyogo","J",5401877,8381.0,"Kobe","Hyogo"
"Ialomita","RO",309000,4449.0,"Slobozia","Ialomita"
"Iasi","RO",810000,5469.0,"Iasi","Iasi"
"Ibaraki","J",2955530,6094.0,"Mito","Ibaraki"
"Ica","PE",608609,21327.0,"Ica","Ica"
"Icel","TR",1266995,15853.0,"Mersin","Icel"
"Iceland","IS",270292,0.0,"Reykjavik","Iceland"
"Idaho","USA",1186602,216430.0,"Boise","Idaho"
"Ilam","IR",440693,19044.0,"Ilam","Ilam"
"Ile de France","F",10660000,12011.0,"Paris","Ile de France"
"Illinois","USA",11895849,145933.0,"Springfield","Illinois"
"Indiana","USA",5864108,93719.0,"Indianapolis","Indiana"
"Indonesia","RI",206611600,0.0,"Jakarta","Indonesia"
"Inhambane","MOC",1157000,68615.0,"Inhambane","Inhambane"
"Intibuca","HCA",137800,3072.0,"La Esperanza","Intibuca"
"Ionioi Nisoi","GR",191003,2307.0,"Korfu","Ionioi Nisoi"
"Iowa","USA",2852423,145752.0,"Des Moines","Iowa"
"Ipiros","GR",339210,9203.0,"Ioannina","Ipiros"
"Ireland","IRL",3566833,0.0,"Dublin","Ireland"
"Iringa","EAT",1208900,58864.0,"Iringa","Iringa"
"Irkutskaya oblast","R",2795200,767900.0,"Irkutsk","Irkutskaya oblast"
"Ishikawa","J",1180068,4197.0,"Kanazawa","Ishikawa"
"Isla de la Juventud","C",71000,2396.0,"Nueva Gerona","Isla de la Juventud"
"Islas de la Bahia","HCA",24500,261.0,"Roatan","Islas de la Bahia"
"Isle of Wight","GB",126600,381.0,"Newport","Newport"
"Ismailiya","ET",623000,1442.0,"Ismailiya","Ismailiya"
"Isparta","TR",434771,8933.0,"Isparta","Isparta"
"Istanbul","TR",7309190,5712.0,"Istanbul","Istanbul"
"Ivano Frankivska","UA",1442900,13900.0,"Ivano Frankivsk","Ivano Frankivska"
"Ivanovskaya oblast","R",1266400,23900.0,"Ivanovo","Ivanovskaya oblast"
"Iwate","J",1419505,15277.0,"Morioka","Iwate"
"Izmir","TR",2694770,11973.0,"Izmir","Izmir"
"Jalisco","MEX",5991176,80137.0,"Guadalajara","Jalisco"
"Jamaica","JA",2595275,0.0,"Kingston","Jamaica"
"Jammu and Kashmir","IND",7718700,101387.0,"Srinagar","Jammu and Kashmir"
"Jamtland","S",136009,49443.0,"Ostersund","Jamtland"
"Jeleniogorskie","PL",519200,4379.0,"Jelenia Gora","Jeleniogorskie"
"Jersey","GBJ",87848,0.0,"Saint Helier","Jersey"
"Jiangsu","TJ",70210000,102600.0,"Nanjing","Jiangsu"
"Jiangxi","TJ",40150000,166600.0,"Nanchang","Jiangxi"
"Jihocesky","CZ",702000,11345.0,"Ceske Budejovice","Jihocesky"
"Jihomoravsky","CZ",2059000,15028.0,"Brno","Jihomoravsky"
"Jilin","TJ",25740000,187000.0,"Changchun","Jilin"
"Jizzakh","UZB",831000,20500.0,"Jizzakh","Jizzakh"
"Johor","MAL",2074297,18986.0,"Johor Baharu","Johor"
"Jonkoping","S",309738,9944.0,"Jonkoping","Jonkoping"
"Jordan","JOR",4212152,0.0,"Amman","Jordan"
"JU","CH",69188,836.0,"Delemont","JU"
"Jujuy","RA",512329,53219.0,"San Salvador de Jujuy","Jujuy"
"Junin","PE",1132448,44409.0,"Huancayo","Junin"
"Kabardino Balkar Rep.","R",789900,12500.0,"Nalchik","Kabardino Balkar Rep."
"Kachin","MYA",904800,89041.0,"Myitkyina","Kachin"
"Kafr el Sheikh","ET",1968000,3437.0,"Kafr el Sheikh","Kafr el Sheikh"
"Kagawa","J",1027006,1882.0,"Takamatsu","Kagawa"
"Kagera","EAT",1326200,28388.0,"Bukoba","Kagera"
"Kagoshima","J",1794224,9166.0,"Kagoshima","Kagoshima"
"Kaliningradskaya oblast","R",932200,15100.0,"Kaliningrad","Kaliningradskaya oblast"
"Kaliskie","PL",715600,6512.0,"Kalisz","Kaliskie"
"Kalmar","S",241883,11170.0,"Kalmar","Kalmar"
"Kaluzhskaya oblast","R",1097300,29900.0,"Kaluga","Kaluzhskaya oblast"
"Kamchatskaya oblast","R",411100,472300.0,"Petropavlovsk Kamchatsky","Kamchatskaya oblast"
"Kanagawa","J",8245900,2402.0,"Yokohama","Kanagawa"
"Kansas","USA",2594840,213097.0,"Topeka","Kansas"
"Kaolack","SN",816400,16010.0,"Kaolack","Kaolack"
"Karachayevo Cherkessk Rep.","R",436300,14100.0,"Cherkessk","Karachayevo Cherkessk Rep."
"Karaman","TR",217536,9163.0,"Karaman","Karaman"
"Karamanmaras","TR",892952,14327.0,"Karaman Maras","Karamanmaras"
"Karbala","IRQ",455868,5034.0,"Karbala","Karbala"
"Karnataka","IND",44977201,191791.0,"Bangalore","Karnataka"
"Kars","TR",662155,18557.0,"Kars","Kars"
"Kasai Occidental","ZRE",3465756,156967.0,"Kananga","Kasai Occidental"
"Kasai Oriental","ZRE",2859220,168216.0,"Mbuji Mayi","Kasai Oriental"
"Kaskazini Pemba","EAT",137400,574.0,"Wete","Kaskazini Pemba"
"Kaskazini Ujunga","EAT",97000,470.0,"Mkokotoni","Kaskazini Ujunga"
"Kastamonu","TR",423611,13108.0,"Kastamonu","Kastamonu"
"Katowickie","PL",4013200,6650.0,"Katowice","Katowickie"
"Kayah","MYA",168400,11733.0,"Loikaw","Kayah"
"Kayin","MYA",1055400,30383.0,"Hpa an","Kayin"
"Kayseri","TR",943484,16917.0,"Kayseri","Kayseri"
"Kedah","MAL",1304800,9426.0,"Alor Setar","Kedah"
"Kedriki Makedhonia","GR",1729581,19147.0,"Thessaloniki","Kedriki Makedhonia"
"Kelantan","MAL",1181680,14943.0,"Kota Baharu","Kelantan"
"Kemerovskaya oblast","R",3063500,95500.0,"Kemerovo","Kemerovskaya oblast"
"Kent","GB",1538800,3731.0,"Maidstone","Kent"
"Kentucky","USA",3908124,104661.0,"Frankfort","Kentucky"
"Kerala","IND",29098518,38863.0,"Trivandrum","Kerala"
"Kerman","IR",1862542,179916.0,"Kerman","Kerman"
"Khabarovskiy kray","R",1571200,752600.0,"Khabarovsk","Khabarovskiy kray"
"Kharkivska","UA",3194800,31400.0,"Kharkiv","Kharkivska"
"Khatlon","TAD",1113500,12600.0,"Qurghonteppa","Khatlon"
"Khersonska","UA",1258700,28500.0,"Kherson","Khersonska"
"Khmelnytska","UA",1520600,20600.0,"Khmelnytskyy","Khmelnytska"
"Khorasan","IR",6013200,313337.0,"Mashhad","Khorasan"
"Khorazm","UZB",1135000,6300.0,"Urganch","Khorazm"
"Khujand","TAD",1635900,26100.0,"Khujand","Khujand"
"Khuzestan","IR",3175852,67282.0,"Ahvaz","Khuzestan"
"Kieleckie","PL",1127700,9211.0,"Kielce","Kieleckie"
"Kigoma","EAT",854800,37037.0,"Kigoma Ujiji","Kigoma"
"Kilimanjaro","EAT",1108700,13309.0,"Moshi","Kilimanjaro"
"Kinshasa","ZRE",2778281,9965.0,"Kinshasa","Kinshasa"
"Kiribati","KIR",80919,0.0,"Tarawa","Kiribati"
"Kirikkale","TR",349396,4365.0,"Kirikkale","Kirikkale"
"Kirklareli","TR",309512,6550.0,"Kirklareli","Kirklareli"
"Kirovohradska","UA",1245300,24600.0,"Kirovohrad","Kirovohradska"
"Kirovskaya oblast","R",1634500,120800.0,"Kirov","Kirovskaya oblast"
"Kirsehir","TR",256862,6570.0,"Kirsehir","Kirsehir"
"Kivu","ZRE",5232442,256662.0,"Bukavu","Kivu"
"Kocaeli","TR",936163,3626.0,"Izmit","Kocaeli"
"Kochi","J",816704,7107.0,"Kochi","Kochi"
"Kokchetau","KAZ",657000,78200.0,"Kokchetau","Kokchetau"
"Kolda","SN",606800,21011.0,"Kolda","Kolda"
"Komarom Esztergom","H",312900,2250.0,"Tatabanya","Komarom Esztergom"
"Koninskie","PL",472400,5139.0,"Konin","Koninskie"
"Konya","TR",1750303,38257.0,"Konya","Konya"
"Kordestan","IR",1233480,24998.0,"Sanandaj","Kordestan"
"Kosovo","KOS",1804838,0.0,"Pristina","Kosovo"
"Kostromskaya oblast","R",805700,60100.0,"Kostroma","Kostromskaya oblast"
"Koszalinskie","PL",513700,8470.0,"Koszalin","Koszalinskie"
"Krakowskie","PL",1238100,3254.0,"Krakow","Krakowskie"
"Krasnodarsky kray","R",5043900,76000.0,"Krasnodar","Krasnodarsky kray"
"Krasnoyarskiy kray","R",3105900,2339700.0,"Krasnoyarsk","Krasnoyarskiy kray"
"Kristianstad","S",291468,6087.0,"Kristianstad","Kristianstad"
"Kriti","GR",537183,8336.0,"Iraklion","Kriti"
"Kronoberg","S",178612,8458.0,"Vaxjo","Kronoberg"
"Krosnienskie","PL",500700,5702.0,"Krosno","Krosnienskie"
"Krym","UA",2549800,27000.0,"Simferopol","Krym"
"Kulob","TAD",668100,12000.0,"Kulob","Kulob"
"Kumamoto","J",1859793,7408.0,"Kumamoto","Kumamoto"
"Kuopio","SF",252000,0.0,"Kuopio","Kuopio"
"Kurdufan","SUD",3093294,380255.0,"al Ubayyid","Kurdufan"
"Kurganskaya oblast","R",1112200,71000.0,"Kurgan","Kurganskaya oblast"
"Kurskaya oblast","R",1346900,29800.0,"Kursk","Kurskaya oblast"
"Kusini Pemba","EAT",127600,332.0,"Chake Cahke","Kusini Pemba"
"Kusini Ujunga","EAT",70200,854.0,"Koani","Kusini Ujunga"
"Kutahya","TR",578020,11875.0,"Kutahya","Kutahya"
"Kuwait","KWT",1950047,0.0,"Kuwait","Kuwait"
"Kwazulu Natal","RSA",7672000,91481.0,"Pietermaritzburg","Kwazulu Natal"
"Kymi","SF",345000,0.0,"Kotka","Kymi"
"Kyoto","J",2629592,4613.0,"Kyoto","Kyoto"
"Kyrgyzstan","KGZ",4529648,0.0,"Bishkek","Kyrgyzstan"
"Kyyivska","UA",4589800,28900.0,"Kiev","Kyyivska"
"La Habana","C",630000,5731.0,"Havana","Ciudad de la Habana"
"La Libertad","PE",1366125,25569.0,"Trujillo","La Libertad"
"La Pampa","RA",259996,143440.0,"Santa Rosa","La Pampa"
"La Paz","HCA",117400,2331.0,"La Paz","La Paz"
"La Rioja","RA",220729,89680.0,"La Rioja","La Rioja"
"Lakshadweep Is.","IND",51707,32.0,"Kavaratti","Lakshadweep Is."
"Lambayeque","PE",1009655,14231.0,"Chiclayo","Lambayeque"
"Lancashire","GB",1408300,3064.0,"Preston","Lancashire"
"Languedoc Roussillon","F",2115000,27376.0,"Montpellier","Languedoc Roussillon"
"Laos","LAO",4975772,0.0,"Vientiane","Laos"
"Lappia","SF",195000,0.0,"Rovaniemi","Lappia"
"Lara","YV",1430968,19800.0,"Barquisimeto","Lara"
"Las Tunas","C",478000,6589.0,"Victoria de las Tunas","Las Tunas"
"Latvia","LV",2468982,0.0,"Riga","Latvia"
"Lazio","I",5185000,17203.0,"Rome","Lazio"
"Leban","TM",774700,93800.0,"Charjew","Leban"
"Lebanon","RL",3776317,0.0,"Beirut","Lebanon"
"Legnickie","PL",521500,4037.0,"Legnica","Legnickie"
"Leicestershire","GB",890800,2553.0,"Leichester","Leicestershire"
"Leiria","P",427800,3515.0,"Leiria","Leiria"
"Lempira","HCA",194600,4290.0,"Gracias","Lempira"
"Leningradskaya oblast","R",1675900,85900.0,"Sankt Peterburg","Sankt Peterburg"
"Leninsk (munic.)","KAZ",68600,0.0,"Leninsk","Leninsk (munic.)"
"Lesotho","LS",1970781,0.0,"Maseru","Lesotho"
"Leszczynskie","PL",391500,4154.0,"Leszno","Leszczynskie"
"Liaoning","TJ",40670000,145700.0,"Shenyang","Liaoning"
"Liberia","LB",2109789,0.0,"Monrovia","Liberia"
"Libya","LAR",5445436,0.0,"Tripoli","Libya"
"Liechtenstein","FL",31122,0.0,"Vaduz","Liechtenstein"
"Liege","B",1006081,3862.0,"Liege","Liege"
"Liguria","I",1663000,5418.0,"Genua","Liguria"
"Lima","PE",6941672,34801.0,"Lima","Lima"
"Limburg","B",755593,2422.0,"Hasselt","Limburg"
"Limburg","NL",1130050,2167.0,"Maastricht","Limburg"
"Limon","CR",237183,9189.0,"Limon","Limon"
"Limousin","F",723000,16942.0,"Limoges","Limousin"
"Limpopo","RSA",4128000,119606.0,"Pietersburg","Limpopo"
"Lincolnshire","GB",592600,5915.0,"Lincoln","Lincolnshire"
"Lindi","EAT",646600,66046.0,"Lindi","Lindi"
"Lipetskaya oblast","R",1250200,24100.0,"Lipetsk","Lipetskaya oblast"
"Lisbon","P",2063800,2761.0,"Lisbon","Lisbon"
"Lithuania","LT",3646041,0.0,"Vilnius","Lithuania"
"Lodzkie","PL",1132400,1523.0,"Lodz","Lodzkie"
"Lombardia","I",8901000,23857.0,"Milan","Lombardia"
"Lomzynskie","PL",349000,6684.0,"Lomza","Lomzynskie"
"Lorestan","IR",1501778,28803.0,"Khorramabad","Lorestan"
"Loreto","PE",789235,368851.0,"Iquitos","Loreto"
"Lorraine","F",2306000,23547.0,"Metz","Lorraine"
"Los Santos","PA",82800,3806.0,"Las Tablas","Los Santos"
"Lothian","GB",758600,1770.0,"Edinburgh","Lothian"
"Louga","SN",490400,29188.0,"Louga","Louga"
"Louisiana","USA",4351769,123677.0,"Baton Rouge","Louisiana"
"Lower Austria","A",1507000,19170.0,"St. Polten","Lower Austria"
"LU","CH",340536,1493.0,"Luzern","LU"
"Luanda","ANG",1629000,2418.0,"Luanda","Luanda"
"Luapula","Z",526300,50567.0,"Mansa","Luapula"
"Lubelskie","PL",1022600,6792.0,"Lublin","Lubelskie"
"Luhanska","UA",2871100,26700.0,"Luhansk","Luhanska"
"Lunda Norte","ANG",292000,102783.0,"Lucapa","Lunda Norte"
"Lunda Sul","ANG",155000,56985.0,"Saurimo","Lunda Sul"
"Lusaka","Z",1151300,21896.0,"Lusaka","Lusaka"
"Luxembourg","B",234664,4441.0,"Arlon","Luxembourg"
"Luxembourg","L",415870,0.0,"Luxembourg","Luxembourg"
"Lvivska","UA",2764400,21800.0,"Lviv","Lvivska"
"Macau","MACX",496837,0.0,"Macau","Macau"
"Macedonia","MK",2104035,0.0,"Skopje","Macedonia"
"Madeira","P",253000,794.0,"Funchal","Madeira"
"Madhya Pradesh","IND",66181170,443446.0,"Bhopal","Madhya Pradesh"
"Madre de Dios","PE",74306,85182.0,"Puerto Maldonado","Madre de Dios"
"Madrid","E",5034548,8028.0,"Madrid","Madrid"
"Magadanskaya oblast","R",258200,461400.0,"Magadan","Magadanskaya oblast"
"Magdalena","CO",890934,23188.0,"Santa Marta","Magdalena"
"Magway","MYA",3243200,44820.0,"Magway","Magway"
"Mahajanga","RM",1075300,150023.0,"Majunga","Mahajanga"
"Maharashtra","IND",78937187,307713.0,"Bombay","Maharashtra"
"Maine","USA",1242051,86156.0,"Augusta","Maine"
"Malanje","ANG",892000,87246.0,"Malanje","Malanje"
"Malatya","TR",702055,12313.0,"Malatya","Malatya"
"Malawi","MW",9452844,0.0,"Lilongwe","Malawi"
"Maldives","MV",270758,0.0,"Male","Maldives"
"Mali","RMM",9653261,0.0,"Bamako","Mali"
"Malmohus","S",786757,4938.0,"Malmo","Malmohus"
"Malta","M",375576,0.0,"Valletta","Malta"
"Man","GBM",73837,0.0,"Douglas","Man"
"Mandalay","MYA",4577800,37024.0,"Mandalay","Mandalay"
"Mangghystau","KAZ",324400,165600.0,"Aqtau","Mangghystau"
"Manica","MOC",609500,61661.0,"Chimoio","Manica"
"Manipur","IND",1837149,22327.0,"Imphal","Manipur"
"Manisa","TR",1154418,13810.0,"Manisa","Manisa"
"Manitoba","CDN",1113898,650086.0,"Winnipeg","Manitoba"
"Maputo","MOC",840800,25756.0,"Maputo","Maputo (munic.)"
"Maputo (munic.)","MOC",931600,602.0,"Maputo","Maputo (munic.)"
"Mara","EAT",970900,19566.0,"Musoma","Mara"
"Maramures","RO",556000,6215.0,"Baia Mare","Maramures"
"Maranhao","BR",5218442,333365.0,"Sao Luis","Maranhao"
"Marche","I",1438000,9693.0,"Ancona","Marche"
"Mardin","TR",557727,8891.0,"Mardin","Mardin"
"Markazi","IR",1182611,29080.0,"Arak","Markazi"
"Marshall Islands","MH",58363,0.0,"Majuro","Marshall Islands"
"Martinique","MART",399151,0.0,"Fort-de-France","Martinique"
"Mary","TM",859500,86800.0,"Mary","Mary"
"Maryland","USA",5094289,27091.0,"Annapolis","Maryland"
"Massachusetts","USA",6117520,21455.0,"Boston","Massachusetts"
"Matanzas","C",596000,11978.0,"Matanzas","Matanzas"
"Mato Grosso","BR",2227983,906806.0,"Cuiaba","Mato Grosso"
"Mato Grosso do Sul","BR",1922258,358158.0,"Campo Grande","Mato Grosso do Sul"
"Matruh","ET",182000,212112.0,"Marsa Matruh","Matruh"
"Mauritania","RIM",2336048,0.0,"Nouakchott","Mauritania"
"Mauritius","MS",1140256,0.0,"Port Louis","Mauritius"
"Mayotte","MAYO",223765,0.0,"Mamoutzou","Mayotte"
"Maysan","IRQ",499842,16072.0,"Al Amarah","Maysan"
"Mazandaran","IR",3793149,46456.0,"Sari","Mazandaran"
"Mbeya","EAT",1476200,60350.0,"Mbeya","Mbeya"
"Mecklenburg Vorpommern","D",1832298,23170.0,"Schwerin","Mecklenburg Vorpommern"
"Meghalaya","IND",1774778,22429.0,"Shillong","Meghalaya"
"Mehedinti","RO",329000,4900.0,"Drobeta Turnu Severin","Mehedinti"
"Melaka","MAL",504502,1650.0,"Melaka","Melaka"
"Mendoza","RA",1412481,148827.0,"Mendoza","Mendoza"
"Merida","YV",680503,11300.0,"Merida","Merida"
"Merseyside","GB",1441100,652.0,"Liverpool","Merseyside"
"Merthyr Tydfil","GB",59500,111.0,"Merthyr Tydfil","Merthyr Tydfil"
"Meta","CO",474046,85635.0,"Villavicencio","Meta"
"Mexico, Estado de","MEX",11707964,21461.0,"Toluca de Lerdo","Mexico, Estado de"
"Michigan","USA",9773892,151584.0,"Lansing","Michigan"
"Michoacan","MEX",3870604,59864.0,"Morelia","Michoacan"
"Micronesia","FSM",125377,0.0,"Palikir","Micronesia"
"Midi Pyrenees","F",2431000,45349.0,"Toulouse","Midi Pyrenees"
"Mie","J",1841358,5778.0,"Tsu","Mie"
"Mikkeli","SF",209000,0.0,"Mikkeli","Mikkeli"
"Minas Gerais","BR",16660691,588383.0,"Belo Horizonte","Minas Gerais"
"Minnesota","USA",4685549,218600.0,"St. Paul","Minnesota"
"Miranda","YV",2303302,7950.0,"Los Teques","Miranda"
"Misiones","RA",788915,29801.0,"Posadas","Misiones"
