"Country","Organization","Type"
"CDN","Inmarsat","member"
"CDN","Intelsat","member"
"CDN","Interpol","member"
"CDN","IOC","National Olympic Committee"
"CDN","IOM","member"
"CDN","ISO","member"
"CDN","ITU","member"
"CDN","MTCR","member"
"CDN","NAM","guest"
"CDN","NATO","member"
"CDN","NSG","member"
"CDN","OAS","member"
"CDN","OECD","member"
"CDN","OSCE","member"
"CDN","PCA","member"
"CDN","UN","member"
"CDN","UNAMIR","member"
"CDN","UNCRO","member"
"CDN","UNDOF","member"
"CDN","UNESCO","member"
"CDN","UNFICYP","member"
"CDN","UNHCR","member"
"CDN","UNIDO","member"
"CDN","UNIKOM","member"
"CDN","UNITAR","member"
"CDN","UNMIH","member"
"CDN","UNPREDEP","member"
"CDN","UNPROFOR","member"
"CDN","UNTSO","member"
"CDN","UNU","member"
"CDN","UPU","member"
"CDN","WCL","member"
"CDN","WFTU","member"
"CDN","WHO","member"
"CDN","WIPO","member"
"CDN","WMO","member"
"CDN","WToO","member"
"CDN","WTrO","member"
"CDN","ZC","member"
"CH","AfDB","nonregional member"
"CH","AG","observer"
"CH","AsDB","nonregional member"
"CH","BIS","member"
"CH","CCC","member"
"CH","CE","member"
"CH","CERN","member"
"CH","EBRD","member"
"CH","ECE","member"
"CH","EFTA","member"
"CH","EN","member"
"CH","ESA","member"
"CH","FAO","member"
"CH","G-10","member"
"CH","IADB","member"
"CH","IAEA","member"
"CH","IBRD","member"
"CH","ICAO","member"
"CH","ICC","member"
"CH","ICFTU","member"
"CH","ICRM","National Society"
"CH","IDA","Part I"
"CH","IEA","member"
"CH","IFAD","Category I"
"CH","IFC","member"
"CH","IFRCS","member"
"CH","ILO","member"
"CH","IMF","member"
"CH","IMO","member"
"CH","Inmarsat","member"
"CH","Intelsat","member"
"CH","Interpol","member"
"CH","IOC","National Olympic Committee"
"CH","IOM","member"
"CH","ISO","member"
"CH","ITU","member"
"CH","MTCR","member"
"CH","NAM","guest"
"CH","NSG","member"
"CH","OAS","observer"
"CH","OECD","member"
"CH","OSCE","member"
"CH","PCA","member"
"CH","UN","observer"
"CH","UNAMIR","member"
"CH","UNCTAD","member"
"CH","UNESCO","member"
"CH","UNHCR","member"
"CH","UNIDO","member"
"CH","UNITAR","member"
"CH","UNMOT","member"
"CH","UNOMIG","member"
"CH","UNPREDEP","member"
"CH","UNPROFOR","member"
"CH","UNTSO","member"
"CH","UNU","member"
"CH","UPU","member"
"CH","WCL","member"
"CH","WHO","member"
"CH","WIPO","member"
"CH","WMO","member"
"CH","WToO","member"
"CH","WTrO","member"
"CH","ZC","member"
"CI","ACCT","member"
"CI","ACP","member"
"CI","AfDB","regional member"
"CI","CCC","member"
"CI","ECA","member"
"CI","ECOWAS","member"
"CI","Entente","member"
"CI","FAO","member"
"CI","FZ","member"
"CI","G-24","member"
"CI","G-77","member"
"CI","IAEA","member"
"CI","IBRD","member"
"CI","ICAO","member"
"CI","ICC","member"
"CI","ICRM","National Society"
"CI","IDA","Part II"
"CI","IFAD","Category III"
"CI","IFC","member"
"CI","IFRCS","member"
"CI","ILO","member"
"CI","IMF","member"
"CI","IMO","member"
"CI","Intelsat","member"
"CI","Interpol","member"
"CI","IOC","National Olympic Committee"
"CI","ITU","member"
"CI","NAM","member"
"CI","OAU","member"
"CI","UN","member"
"CI","UNESCO","member"
"CI","UNIDO","member"
"CI","UNITAR","member"
"CI","UPU","member"
"CI","WADB","member"
"CI","WCL","member"
"CI","WFTU","member"
"CI","WHO","member"
"CI","WIPO","member"
"CI","WMO","member"
"CI","WToO","member"
"CI","WTrO","member"
"CL","AsDB","regional member"
"CL","C","member"
"CL","CCC","member"
"CL","CP","member"
"CL","ESCAP","member"
"CL","FAO","member"
"CL","G-24","member"
"CL","G-77","member"
"CL","IAEA","member"
"CL","IBRD","member"
"CL","ICAO","member"
"CL","ICC","member"
"CL","ICFTU","member"
"CL","ICRM","National Society"
"CL","IDA","Part II"
"CL","IFAD","Category III"
"CL","IFC","member"
"CL","IFRCS","member"
"CL","ILO","member"
"CL","IMF","member"
"CL","IMO","member"
"CL","Inmarsat","member"
"CL","Intelsat","member"
"CL","Interpol","member"
"CL","IOC","National Olympic Committee"
"CL","IOM","member"
"CL","ISO","member"
"CL","ITU","member"
"CL","NAM","member"
"CL","PCA","member"
"CL","SAARC","member"
"CL","UN","member"
"CL","UNESCO","member"
"CL","UNIDO","member"
"CL","UNU","member"
"CL","UPU","member"
"CL","WCL","member"
"CL","WFTU","member"
"CL","WHO","member"
"CL","WIPO","member"
"CL","WMO","member"
"CL","WToO","member"
"CL","WTrO","member"
"CO","AG","member"
"CO","CCC","member"
"CO","CDB","regional member"
"CO","ECLAC","member"
"CO","FAO","member"
"CO","G-11","member"
"CO","G-24","member"
"CO","G-3","member"
"CO","G-77","member"
"CO","IADB","member"
"CO","IAEA","member"
"CO","IBRD","member"
"CO","ICAO","member"
"CO","ICC","member"
"CO","ICFTU","member"
"CO","ICRM","National Society"
"CO","IDA","Part II"
"CO","IFAD","Category III"
"CO","IFC","member"
"CO","IFRCS","member"
"CO","ILO","member"
"CO","IMF","member"
"CO","IMO","member"
"CO","Inmarsat","member"
"CO","Intelsat","member"
"CO","Interpol","member"
"CO","IOC","National Olympic Committee"
"CO","IOM","member"
"CO","ISO","member"
"CO","ITU","member"
"CO","LAES","member"
"CO","LAIA","member"
"CO","NAM","member"
"CO","OAS","member"
"CO","OPANAL","member"
"CO","PCA","member"
"CO","RG","member"
"CO","UN","member"
"CO","UNESCO","member"
"CO","UNHCR","member"
"CO","UNIDO","member"
"CO","UNU","member"
"CO","UPU","member"
"CO","WCL","member"
"CO","WFTU","member"
"CO","WHO","member"
"CO","WIPO","member"
"CO","WMO","member"
"CO","WToO","member"
"CO","WTrO","member"
"COCO","WMO","member"
"COM","ACCT","member"
"COM","ACP","member"
"COM","AfDB","regional member"
"COM","AL","member"
"COM","CCC","member"
"COM","ECA","member"
"COM","FAO","member"
"COM","FZ","member"
"COM","G-77","member"
"COM","IBRD","member"
"COM","ICAO","member"
"COM","IDA","Part II"
"COM","IDB","member"
"COM","IFAD","Category III"
"COM","IFC","member"
"COM","IFRCS","associate member"
"COM","ILO","member"
"COM","IMF","member"
"COM","Intelsat","nonsignatory user"
"COM","IOC","National Olympic Committee"
"COM","ITU","member"
"COM","NAM","member"
"COM","OAU","member"
"COM","OIC","member"
"COM","UN","member"
"COM","UNESCO","member"
"COM","UNIDO","member"
"COM","UPU","member"
"COM","WHO","member"
"COM","WMO","member"
"COOK","ACP","member"
"COOK","FAO","member"
"COOK","ICAO","member"
"COOK","ICRM","National Society"
"COOK","IFAD","Category III"
"COOK","IFRCS","member"
"COOK","IOC","National Olympic Committee"
"COOK","Sparteca","member"
"COOK","SPC","member"
"COOK","UNESCO","member"
"COOK","UPU","member"
"COOK","WHO","member"
"COOK","WMO","member"
"CR","AG","observer"
"CR","BCIE","member"
"CR","CACM","member"
"CR","ECLAC","member"
"CR","FAO","member"
"CR","G-77","member"
"CR","IADB","member"
"CR","IAEA","member"
"CR","IBRD","member"
"CR","ICAO","member"
"CR","ICFTU","member"
"CR","ICRM","National Society"
"CR","IDA","Part II"
"CR","IFAD","Category III"
"CR","IFC","member"
"CR","IFRCS","member"
"CR","ILO","member"
"CR","IMF","member"
"CR","IMO","member"
"CR","Intelsat","member"
"CR","Interpol","member"
"CR","IOC","National Olympic Committee"
"CR","IOM","member"
"CR","ITU","member"
"CR","LAES","member"
"CR","LAIA","observer"
"CR","NAM","observer"
"CR","OAS","member"
"CR","OPANAL","member"
"CR","UN","member"
"CR","UNESCO","member"
"CR","UNIDO","member"
"CR","UNU","member"
"CR","UPU","member"
"CR","WCL","member"
"CR","WFTU","member"
"CR","WHO","member"
"CR","WIPO","member"
"CR","WMO","member"
"CR","WTrO","member"
"CV","ACP","member"
"CV","AfDB","regional member"
"CV","CCC","member"
"CV","ECA","member"
"CV","ECOWAS","member"
"CV","FAO","member"
"CV","G-77","member"
"CV","IBRD","member"
"CV","ICAO","member"
"CV","ICFTU","member"
"CV","ICRM","National Society"
"CV","IDA","Part II"
"CV","IFAD","Category III"
"CV","IFC","member"
"CV","IFRCS","member"
"CV","ILO","member"
"CV","IMF","member"
"CV","IMO","member"
"CV","Intelsat","member"
"CV","Interpol","member"
"CV","IOC","National Olympic Committee"
"CV","IOM","observer"
"CV","ITU","member"
"CV","NAM","member"
"CV","OAU","member"
"CV","UN","member"
"CV","UNESCO","member"
"CV","UNIDO","member"
"CV","UPU","member"
"CV","WCL","member"
"CV","WHO","member"
"CV","WMO","member"
"CV","WTrO","applicant"
"CY","C","member"
"CY","CCC","member"
"CY","CE","member"
"CY","EBRD","member"
"CY","ECE","member"
"CY","EU","member"
"CY","FAO","member"
"CY","G-77","member"
"CY","IAEA","member"
"CY","IBRD","member"
"CY","ICAO","member"
"CY","ICC","member"
"CY","ICFTU","member"
"CY","IDA","Part II"
"CY","IFAD","Category III"
"CY","IFC","member"
"CY","IFRCS","associate member"
"CY","ILO","member"
"CY","IMF","member"
"CY","IMO","member"
"CY","Inmarsat","member"
"CY","Intelsat","member"
"CY","Interpol","member"
"CY","IOC","National Olympic Committee"
"CY","IOM","member"
"CY","ISO","member"
"CY","ITU","member"
"CY","NAM","member"
"CY","OAS","observer"
"CY","OSCE","member"
"CY","PCA","member"
"CY","UN","member"
"CY","UNESCO","member"
"CY","UNIDO","member"
"CY","UPU","member"
"CY","WCL","member"
"CY","WFTU","member"
"CY","WHO","member"
"CY","WIPO","member"
"CY","WMO","member"
"CY","WToO","member"
"CY","WTrO","member"
"CZ","ANC","member"
"CZ","BIS","member"
"CZ","CCC","member"
"CZ","CE","member"
"CZ","CEI","member"
"CZ","CERN","member"
"CZ","EBRD","member"
"CZ","ECE","member"
"CZ","EU","member"
"CZ","FAO","member"
"CZ","IAEA","member"
"CZ","IBRD","member"
"CZ","ICAO","member"
"CZ","ICFTU","member"
"CZ","ICRM","National Society"
"CZ","IDA","Part II"
"CZ","IFC","member"
"CZ","IFRCS","member"
"CZ","ILO","member"
"CZ","IMF","member"
"CZ","IMO","member"
"CZ","Inmarsat","member"
"CZ","Intelsat","member"
"CZ","Interpol","member"
"CZ","IOC","National Olympic Committee"
"CZ","IOM","observer"
"CZ","ISO","member"
"CZ","ITU","member"
"CZ","NSG","member"
"CZ","OECD","member"
"CZ","OSCE","member"
"CZ","PCA","member"
"CZ","PFP","member"
"CZ","UN","member"
"CZ","UNCRO","member"
"CZ","UNESCO","member"
"CZ","UNIDO","member"
"CZ","UNOMIG","member"
"CZ","UNOMIL","member"
"CZ","UNPROFOR","member"
"CZ","UPU","member"
"CZ","WEU","associate partner"
"CZ","WFTU","member"
"CZ","WHO","member"
"CZ","WIPO","member"
"CZ","WMO","member"
"CZ","WToO","member"
"CZ","WTrO","member"
"CZ","ZC","member"
"D","AfDB","nonregional member"
"D","AG","observer"
"D","ANC","member"
"D","AsDB","nonregional member"
"D","BDEAC","member"
"D","BIS","member"
"D","CBSS","member"
"D","CCC","member"
"D","CDB","nonregional member"
"D","CE","member"
"D","CERN","member"
"D","EBRD","member"
"D","ECE","member"
"D","EIB","member"
"D","EN","member"
"D","ESA","member"
"D","EU","member"
"D","FAO","member"
"D","G-10","member"
"D","G-5","member"
"D","G-7","member"
"D","G-8","member"
"D","IADB","member"
"D","IAEA","member"
"D","IBRD","member"
"D","ICAO","member"
"D","ICC","member"
"D","ICFTU","member"
"D","ICRM","National Society"
"D","IDA","Part I"
"D","IEA","member"
"D","IFAD","Category I"
"D","IFC","member"
"D","IFRCS","member"
"D","ILO","member"
"D","IMF","member"
"D","IMO","member"
"D","Inmarsat","member"
"D","Intelsat","member"
"D","Interpol","member"
"D","IOC","National Olympic Committee"
"D","IOM","member"
"D","ISO","member"
"D","ITU","member"
"D","MINURSO","member"
"D","MTCR","member"
"D","NAM","guest"
"D","NATO","member"
"D","NSG","member"
"D","OAS","observer"
"D","OECD","member"
"D","OSCE","member"
"D","PCA","member"
"D","UN","member"
"D","UNAMIR","member"
"D","UNCRO","member"
"D","UNESCO","member"
"D","UNHCR","member"
"D","UNIDO","member"
"D","UNITAR","member"
"D","UNOMIG","member"
"D","UNPROFOR","member"
"D","UPU","member"
"D","WEU","member"
"D","WHO","member"
"D","WIPO","member"
"D","WMO","member"
"D","WToO","member"
"D","WTrO","member"
"D","ZC","member"
"DJI","ACCT","member"
"DJI","ACP","member"
"DJI","AfDB","regional member"
"DJI","AFESD","member"
"DJI","AL","member"
"DJI","ECA","member"
"DJI","FAO","member"
"DJI","G-77","member"
"DJI","IBRD","member"
"DJI","ICAO","member"
"DJI","ICRM","National Society"
"DJI","IDA","Part II"
"DJI","IDB","member"
"DJI","IFAD","Category III"
"DJI","IFC","member"
"DJI","IFRCS","member"
"DJI","IGADD","member"
"DJI","ILO","member"
"DJI","IMF","member"
"DJI","IMO","member"
"DJI","Intelsat","nonsignatory user"
"DJI","Interpol","member"
"DJI","IOC","National Olympic Committee"
"DJI","ITU","member"
"DJI","NAM","member"
"DJI","OAU","member"
"DJI","OIC","member"
"DJI","UN","member"
"DJI","UNAMIR","member"
"DJI","UNESCO","member"
"DJI","UNIDO","member"
"DJI","UNMIH","member"
"DJI","UPU","member"
"DJI","WFTU","member"
"DJI","WHO","member"
"DJI","WMO","member"
"DJI","WTrO","member"
"DK","AfDB","nonregional member"
"DK","AG","observer"
"DK","ANC","member"
"DK","AsDB","nonregional member"
"DK","BIS","member"
"DK","CBSS","member"
"DK","CCC","member"
"DK","CE","member"
"DK","CERN","member"
"DK","EBRD","member"
"DK","ECE","member"
"DK","EIB","member"
"DK","EN","member"
"DK","ESA","member"
"DK","EU","member"
"DK","FAO","member"
"DK","G-9","member"
"DK","IADB","member"
"DK","IAEA","member"
"DK","IBRD","member"
"DK","ICAO","member"
"DK","ICC","member"
"DK","ICFTU","member"
"DK","ICRM","National Society"
"DK","IDA","Part I"
"DK","IEA","member"
"DK","IFAD","Category I"
"DK","IFC","member"
"DK","IFRCS","member"
"DK","ILO","member"
"DK","IMF","member"
"DK","IMO","member"
"DK","Inmarsat","member"
"DK","Intelsat","member"
"DK","Interpol","member"
"DK","IOC","National Olympic Committee"
"DK","IOM","member"
"DK","ISO","member"
"DK","ITU","member"
"DK","MTCR","member"
"DK","NATO","member"
"DK","NC","member"
"DK","NIB","member"
"DK","NSG","member"
"DK","OECD","member"
"DK","OSCE","member"
"DK","PCA","member"
"DK","UN","member"
"DK","UNCRO","member"
"DK","UNESCO","member"
"DK","UNHCR","member"
"DK","UNIDO","member"
"DK","UNIKOM","member"
"DK","UNMOGIP","member"
"DK","UNMOT","member"
"DK","UNOMIG","member"
"DK","UNPREDEP","member"
"DK","UNPROFOR","member"
"DK","UNTSO","member"
"DK","UPU","member"
"DK","WEU","observer"
"DK","WFTU","member"
"DK","WHO","member"
"DK","WIPO","member"
"DK","WMO","member"
"DK","WTrO","member"
"DK","ZC","member"
"DOM","ACP","member"
"DOM","Caricom","observer"
"DOM","ECLAC","member"
"DOM","FAO","member"
"DOM","G-11","member"
"DOM","G-77","member"
"DOM","IADB","member"
"DOM","IAEA","member"
"DOM","IBRD","member"
"DOM","ICAO","member"
"DOM","ICFTU","member"
"DOM","ICRM","National Society"
"DOM","IDA","Part II"
"DOM","IFAD","Category III"
"DOM","IFC","member"
"DOM","IFRCS","member"
"DOM","ILO","member"
"DOM","IMF","member"
"DOM","IMO","member"
"DOM","Intelsat","member"
"DOM","Interpol","member"
"DOM","IOC","National Olympic Committee"
"DOM","IOM","member"
"DOM","ITU","member"
"DOM","LAES","member"
"DOM","LAIA","observer"
"DOM","NAM","guest"
"DOM","OAS","member"
"DOM","OPANAL","member"
"DOM","PCA","member"
"DOM","UN","member"
"DOM","UNESCO","member"
"DOM","UNIDO","member"
"DOM","UPU","member"
"DOM","WCL","member"
"DOM","WFTU","member"
"DOM","WHO","member"
"DOM","WIPO","member"
"DOM","WMO","member"
"DOM","WToO","member"
"DOM","WTrO","member"
"DZ","ABEDA","member"
"DZ","AfDB","regional member"
"DZ","AFESD","member"
"DZ","AL","member"
"DZ","AMF","member"
"DZ","AMU","member"
"DZ","CCC","member"
"DZ","ECA","member"
"DZ","FAO","member"
"DZ","G-15","member"
"DZ","G-19","member"
"DZ","G-24","member"
"DZ","G-77","member"
"DZ","IAEA","member"
"DZ","IBRD","member"
"DZ","ICAO","member"
"DZ","ICRM","National Society"
"DZ","IDA","Part II"
"DZ","IDB","member"
"DZ","IFAD","Category II"
"DZ","IFC","member"
"DZ","IFRCS","member"
"DZ","ILO","member"
"DZ","IMF","member"
"DZ","IMO","member"
"DZ","Inmarsat","member"
"DZ","Intelsat","member"
"DZ","Interpol","member"
"DZ","IOC","National Olympic Committee"
"DZ","ISO","member"
"DZ","ITU","member"
"DZ","NAM","member"
"DZ","OAPEC","member"
"DZ","OAS","observer"
"DZ","OAU","member"
"DZ","OIC","member"
"DZ","OPEC","member"
"DZ","UN","member"
"DZ","UNAVEM III","member"
"DZ","UNESCO","member"
"DZ","UNHCR","member"
"DZ","UNIDO","member"
"DZ","UNMIH","member"
"DZ","UPU","member"
"DZ","WCL","member"
"DZ","WHO","member"
"DZ","WIPO","member"
"DZ","WMO","member"
"DZ","WToO","member"
"DZ","WTrO","applicant"
"E","AfDB","nonregional member"
"E","AG","observer"
"E","ANC","member"
"E","AsDB","nonregional member"
"E","BIS","member"
"E","CCC","member"
"E","CE","member"
"E","CERN","member"
"E","EBRD","member"
"E","ECE","member"
"E","ECLAC","member"
"E","EIB","member"
"E","EN","member"
"E","ESA","member"
"E","EU","member"
"E","FAO","member"
"E","IADB","member"
"E","IAEA","member"
"E","IBRD","member"
"E","ICAO","member"
"E","ICC","member"
"E","ICFTU","member"
"E","ICRM","National Society"
"E","IDA","Part II"
"E","IEA","member"
"E","IFAD","Category I"
"E","IFC","member"
"E","IFRCS","member"
"E","ILO","member"
"E","IMF","member"
"E","IMO","member"
"E","Inmarsat","member"
"E","Intelsat","member"
"E","Interpol","member"
"E","IOC","National Olympic Committee"
"E","IOM","observer"
"E","ISO","member"
"E","ITU","member"
"E","LAIA","observer"
"E","MTCR","member"
"E","NAM","guest"
"E","NATO","member"
"E","NSG","member"
"E","OAS","observer"
"E","OECD","member"
"E","OSCE","member"
"E","PCA","member"
"E","UN","member"
"E","UNCRO","member"
"E","UNESCO","member"
"E","UNHCR","member"
"E","UNIDO","member"
"E","UNPREDEP","member"
"E","UNPROFOR","member"
"E","UNU","member"
"E","UPU","member"
"E","WCL","member"
"E","WEU","member"
"E","WFTU","member"
"E","WHO","member"
"E","WIPO","member"
"E","WMO","member"
"E","WToO","member"
"E","WTrO","member"
"E","ZC","member"
"EAK","ACP","member"
"EAK","AfDB","regional member"
"EAK","C","member"
"EAK","CCC","member"
"EAK","EADB","member"
"EAK","ECA","member"
"EAK","FAO","member"
"EAK","G-77","member"
"EAK","IAEA","member"
"EAK","IBRD","member"
"EAK","ICAO","member"
"EAK","ICFTU","member"
"EAK","ICRM","National Society"
"EAK","IDA","Part II"
"EAK","IFAD","Category III"
"EAK","IFC","member"
"EAK","IFRCS","member"
"EAK","IGADD","member"
"EAK","ILO","member"
"EAK","IMF","member"
"EAK","IMO","member"
"EAK","Intelsat","member"
"EAK","Interpol","member"
"EAK","IOC","National Olympic Committee"
"EAK","IOM","member"
"EAK","ISO","member"
"EAK","ITU","member"
"EAK","MINURSO","member"
"EAK","NAM","member"
"EAK","OAU","member"
"EAK","UN","member"
"EAK","UNAVEM III","member"
"EAK","UNCRO","member"
"EAK","UNESCO","member"
"EAK","UNIDO","member"
"EAK","UNIKOM","member"
"EAK","UNOMIL","member"
"EAK","UNPREDEP","member"
"EAK","UNPROFOR","member"
"EAK","UNU","member"
"EAK","UPU","member"
"EAK","WCL","member"
"EAK","WHO","member"
"EAK","WIPO","member"
"EAK","WMO","member"
"EAK","WToO","member"
"EAK","WTrO","member"
"EAT","ACP","member"
"EAT","AfDB","regional member"
"EAT","C","member"
"EAT","CCC","member"
"EAT","EADB","member"
"EAT","ECA","member"
"EAT","FAO","member"
"EAT","G-6","member"
"EAT","G-77","member"
"EAT","IAEA","member"
"EAT","IBRD","member"
"EAT","ICAO","member"
"EAT","ICRM","National Society"
"EAT","IDA","Part II"
"EAT","IFAD","Category III"
"EAT","IFC","member"
"EAT","IFRCS","member"
"EAT","ILO","member"
"EAT","IMF","member"
"EAT","IMO","member"
"EAT","Intelsat","member"
"EAT","Interpol","member"
"EAT","IOC","National Olympic Committee"
"EAT","ISO","member"
"EAT","ITU","member"
"EAT","NAM","member"
"EAT","OAU","member"
"EAT","SADC","member"
"EAT","UN","member"
"EAT","UNAVEM III","member"
"EAT","UNESCO","member"
"EAT","UNHCR","member"
"EAT","UNIDO","member"
"EAT","UPU","member"
"EAT","WCL","member"
"EAT","WFTU","member"
"EAT","WHO","member"
"EAT","WIPO","member"
"EAT","WMO","member"
"EAT","WToO","member"
"EAT","WTrO","member"
"EAU","ACP","member"
"EAU","AfDB","regional member"
"EAU","C","member"
"EAU","CCC","member"
"EAU","EADB","member"
"EAU","ECA","member"
"EAU","FAO","member"
"EAU","G-77","member"
"EAU","IAEA","member"
"EAU","IBRD","member"
"EAU","ICAO","member"
"EAU","ICFTU","member"
"EAU","ICRM","National Society"
"EAU","IDA","Part II"
"EAU","IDB","member"
"EAU","IFAD","Category III"
"EAU","IFC","member"
"EAU","IFRCS","member"
"EAU","IGADD","member"
"EAU","ILO","member"
"EAU","IMF","member"
"EAU","Intelsat","member"
"EAU","Interpol","member"
"EAU","IOC","National Olympic Committee"
"EAU","IOM","member"
"EAU","ISO","correspondent member"
"EAU","ITU","member"
"EAU","NAM","member"
"EAU","OAU","member"
"EAU","OIC","member"
"EAU","PCA","member"
"EAU","UN","member"
"EAU","UNESCO","member"
"EAU","UNHCR","member"
"EAU","UNIDO","member"
"EAU","UNITAR","member"
"EAU","UPU","member"
"EAU","WFTU","member"
"EAU","WHO","member"
"EAU","WIPO","member"
"EAU","WMO","member"
"EAU","WToO","member"
"EAU","WTrO","member"
"EC","AG","member"
"EC","ECLAC","member"
"EC","FAO","member"
"EC","G-11","member"
"EC","G-77","member"
"EC","IADB","member"
"EC","IAEA","member"
"EC","IBRD","member"
"EC","ICAO","member"
"EC","ICC","member"
"EC","ICFTU","member"
"EC","ICRM","National Society"
"EC","IDA","Part II"
"EC","IFAD","Category III"
"EC","IFC","member"
"EC","IFRCS","member"
"EC","ILO","member"
"EC","IMF","member"
"EC","IMO","member"
"EC","Intelsat","member"
"EC","Interpol","member"
"EC","IOC","National Olympic Committee"
"EC","IOM","member"
"EC","ITU","member"
"EC","LAES","member"
"EC","LAIA","member"
"EC","NAM","member"
"EC","OAS","member"
"EC","OPANAL","member"
"EC","PCA","member"
"EC","RG","member"
"EC","UN","member"
"EC","UNESCO","member"
"EC","UNIDO","member"
"EC","UPU","member"
"EC","WCL","member"
"EC","WFTU","member"
"EC","WHO","member"
"EC","WIPO","member"
"EC","WMO","member"
"EC","WToO","member"
"EC","WTrO","applicant"
"ER","ACP","member"
"ER","AfDB","regional member"
"ER","ECA","member"
"ER","FAO","member"
"ER","IBRD","member"
"ER","ICAO","member"
"ER","IDA","Part II"
"ER","IFAD","Category III"
"ER","IGADD","member"
"ER","ILO","member"
"ER","IMF","member"
"ER","IMO","member"
"ER","Intelsat","nonsignatory user"
"ER","ITU","member"
"ER","NAM","member"
"ER","OAU","member"
"ER","UN","member"
"ER","UNESCO","member"
"ER","UNIDO","member"
"ER","UPU","member"
"ER","WFTU","member"
"ER","WHO","member"
"ER","WMO","member"
"ES","BCIE","member"
"ES","CACM","member"
"ES","ECLAC","member"
"ES","FAO","member"
"ES","G-77","member"
"ES","IADB","member"
"ES","IAEA","member"
"ES","IBRD","member"
"ES","ICAO","member"
"ES","ICFTU","member"
"ES","ICRM","National Society"
"ES","IDA","Part II"
"ES","IFAD","Category III"
"ES","IFC","member"
"ES","IFRCS","member"
"ES","ILO","member"
"ES","IMF","member"
"ES","IMO","member"
"ES","Intelsat","member"
"ES","Interpol","member"
"ES","IOC","National Olympic Committee"
"ES","IOM","member"
"ES","ITU","member"
"ES","LAES","member"
"ES","LAIA","observer"
"ES","MINURSO","member"
"ES","NAM","observer"
"ES","OAS","member"
"ES","OPANAL","member"
"ES","PCA","member"
"ES","UN","member"
"ES","UNESCO","member"
"ES","UNIDO","member"
"ES","UPU","member"
"ES","WCL","member"
"ES","WFTU","member"
"ES","WHO","member"
"ES","WIPO","member"
"ES","WMO","member"
"ES","WToO","member"
"ES","WTrO","member"
"ET","ABEDA","member"
"ET","ACC","member"
"ET","ACCT","associate member"
"ET","AfDB","regional member"
"ET","AFESD","member"
"ET","AG","observer"
"ET","AL","member"
"ET","AMF","member"
"ET","BSEC","observer"
"ET","CAEU","member"
"ET","CCC","member"
"ET","EBRD","member"
"ET","ECA","member"
"ET","ESCWA","member"
"ET","FAO","member"
"ET","G-15","member"
"ET","G-19","member"
"ET","G-24","member"
"ET","G-77","member"
"ET","IAEA","member"
"ET","IBRD","member"
"ET","ICAO","member"
"ET","ICC","member"
"ET","ICRM","National Society"
"ET","IDA","Part II"
"ET","IDB","member"
"ET","IFAD","Category III"
"ET","IFC","member"
"ET","IFRCS","member"
"ET","ILO","member"
"ET","IMF","member"
"ET","IMO","member"
"ET","Inmarsat","member"
"ET","Intelsat","member"
"ET","Interpol","member"
"ET","IOC","National Olympic Committee"
"ET","IOM","member"
"ET","ISO","member"
"ET","ITU","member"
"ET","MINURSO","member"
"ET","NAM","member"
"ET","OAPEC","member"
"ET","OAS","observer"
"ET","OAU","member"
"ET","OIC","member"
"ET","PCA","member"
"ET","UN","member"
"ET","UNAVEM III","member"
"ET","UNCRO","member"
"ET","UNESCO","member"
"ET","UNIDO","member"
"ET","UNOMIG","member"
"ET","UNOMIL","member"
"ET","UNPREDEP","member"
"ET","UNPROFOR","member"
"ET","UNRWA","member"
"ET","UPU","member"
"ET","WFTU","member"
"ET","WHO","member"
"ET","WIPO","member"
"ET","WMO","member"
"ET","WToO","member"
"ET","WTrO","member"
"ETH","ACP","member"
"ETH","AfDB","regional member"
"ETH","CCC","member"
"ETH","ECA","member"
"ETH","FAO","member"
"ETH","G-24","member"
"ETH","G-77","member"
"ETH","IAEA","member"
"ETH","IBRD","member"
"ETH","ICAO","member"
"ETH","ICRM","National Society"
"ETH","IDA","Part II"
"ETH","IFAD","Category III"
"ETH","IFC","member"
"ETH","IFRCS","member"
"ETH","IGADD","member"
"ETH","ILO","member"
"ETH","IMF","member"
"ETH","IMO","member"
"ETH","Intelsat","member"
"ETH","Interpol","member"
"ETH","IOC","National Olympic Committee"
"ETH","ISO","member"
"ETH","ITU","member"
"ETH","NAM","member"
"ETH","OAU","member"
"ETH","UN","member"
"ETH","UNESCO","member"
"ETH","UNHCR","member"
"ETH","UNIDO","member"
"ETH","UNU","member"
"ETH","UPU","member"
"ETH","WFTU","member"
"ETH","WHO","member"
"ETH","WMO","member"
"ETH","WToO","member"
"ETH","WTrO","observer"
"EW","ANC","member"
"EW","BIS","member"
"EW","CBSS","member"
"EW","CCC","member"
"EW","CE","member"
"EW","EBRD","member"
"EW","ECE","member"
"EW","EU","member"
"EW","FAO","member"
"EW","IAEA","member"
"EW","IBRD","member"
"EW","ICAO","member"
"EW","ICFTU","member"
"EW","ICRM","National Society"
"EW","IFC","member"
"EW","IFRCS","member"
"EW","ILO","member"
"EW","IMF","member"
"EW","IMO","member"
"EW","Interpol","member"
"EW","IOC","National Olympic Committee"
"EW","ISO","correspondent member"
"EW","ITU","member"
"EW","OSCE","member"
"EW","PFP","member"
"EW","UN","member"
"EW","UNCRO","member"
"EW","UNESCO","member"
"EW","UPU","member"
"EW","WEU","associate partner"
